", 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
07:57:27 AM       tps      rtps      wtps   bread/s   bwrtn/s;;;;;;;;7:57:27;AM;tps;rtps;wtps;bread/s;bwrtn/s
08:29:07 AM      2,10      0,00      2,10      0,00     41,60;;;;;;;;8:29:07;AM;2,1;0;2,1;0;41,6
08:29:17 AM      1,70      0,00      1,70      0,00     39,20;;;;;;;;8:29:17;AM;1,7;0;1,7;0;39,2
08:29:27 AM      3,10      0,00      3,10      0,00     48,00;;;;;;;;8:29:27;AM;3,1;0;3,1;0;48
08:29:37 AM      1,20      0,00      1,20      0,00     25,60;;;;;;;;8:29:37;AM;1,2;0;1,2;0;25,6
08:29:47 AM      2,00      0,00      2,00      0,00     42,40;;;;;;;;8:29:47;AM;2;0;2;0;42,4
08:29:57 AM      1,80      0,00      1,80      0,00     39,20;;;;;;;;8:29:57;AM;1,8;0;1,8;0;39,2
08:30:07 AM      3,60      0,00      3,60      0,00     69,60;;;;;;;;8:30:07;AM;3,6;0;3,6;0;69,6
08:30:17 AM      1,10      0,00      1,10      0,00     25,60;;;;;;;;8:30:17;AM;1,1;0;1,1;0;25,6
08:30:27 AM      2,20      0,00      2,20      0,00     43,20;;;;;;;;8:30:27;AM;2,2;0;2,2;0;43,2
08:30:37 AM      4,50      0,00      4,50      0,00     71,20;;;;;;;;8:30:37;AM;4,5;0;4,5;0;71,2
08:30:47 AM      1,50      0,00      1,50      0,00     28,80;;;;;;;;8:30:47;AM;1,5;0;1,5;0;28,8
08:30:57 AM      1,40      0,00      1,40      0,00     34,40;;;;;;;;8:30:57;AM;1,4;0;1,4;0;34,4
08:31:07 AM      1,50      0,00      1,50      0,00     34,40;;;;;;;;8:31:07;AM;1,5;0;1,5;0;34,4
08:31:17 AM      3,50      0,00      3,50      0,00     52,80;;;;;;;;8:31:17;AM;3,5;0;3,5;0;52,8
08:31:27 AM      1,50      0,00      1,50      0,00     26,40;;;;;;;;8:31:27;AM;1,5;0;1,5;0;26,4
08:31:37 AM      1,30      0,00      1,30      0,00     30,40;;;;;;;;8:31:37;AM;1,3;0;1,3;0;30,4
08:31:47 AM      1,40      0,00      1,40      0,00     32,00;;;;;;;;8:31:47;AM;1,4;0;1,4;0;32
08:31:57 AM      3,40      0,00      3,40      0,00     45,60;;;;;;;;8:31:57;AM;3,4;0;3,4;0;45,6
08:32:07 AM      1,90      0,00      1,90      0,00     55,20;;;;;;;;8:32:07;AM;1,9;0;1,9;0;55,2
08:32:17 AM      1,30      0,00      1,30      0,00     31,20;;;;;;;;8:32:17;AM;1,3;0;1,3;0;31,2
08:32:27 AM      3,00      0,00      3,00      0,00     46,40;;;;;;;;8:32:27;AM;3;0;3;0;46,4
08:32:37 AM      2,30      0,00      2,30      0,00     41,60;;;;;;;;8:32:37;AM;2,3;0;2,3;0;41,6
08:32:47 AM      1,20      0,00      1,20      0,00     29,60;;;;;;;;8:32:47;AM;1,2;0;1,2;0;29,6
08:32:57 AM      1,30      0,00      1,30      0,00     30,40;;;;;;;;8:32:57;AM;1,3;0;1,3;0;30,4
