"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
07:57:16 AM kbswpfree kbswpused  %swpused  kbswpcad   %swpcad;;;;;;;;;7:57:16;AM;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
08:33:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:33:26;AM;0;0;0;0;0
08:33:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:33:36;AM;0;0;0;0;0
08:33:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:33:46;AM;0;0;0;0;0
08:33:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:33:56;AM;0;0;0;0;0
08:34:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:34:06;AM;0;0;0;0;0
08:34:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:34:16;AM;0;0;0;0;0
08:34:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:34:26;AM;0;0;0;0;0
08:34:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:34:36;AM;0;0;0;0;0
08:34:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:34:46;AM;0;0;0;0;0
08:34:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:34:56;AM;0;0;0;0;0
08:35:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:35:06;AM;0;0;0;0;0
08:35:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:35:16;AM;0;0;0;0;0
08:35:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:35:26;AM;0;0;0;0;0
08:35:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:35:36;AM;0;0;0;0;0
08:35:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:35:46;AM;0;0;0;0;0
08:35:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:35:56;AM;0;0;0;0;0
08:36:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:36:06;AM;0;0;0;0;0
08:36:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:36:16;AM;0;0;0;0;0
08:36:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:36:26;AM;0;0;0;0;0
08:36:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:36:36;AM;0;0;0;0;0
08:36:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:36:46;AM;0;0;0;0;0
08:36:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:36:56;AM;0;0;0;0;0
08:37:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:37:06;AM;0;0;0;0;0
08:37:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:37:16;AM;0;0;0;0;0
Average:            0         0      0,00         0      0,00;;;;;;;;;Average:;0;0;0;0;0;
